season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,7,10,CHI,MIA,-0.0029064958561651,1.0,0,-13.0,False
2014,7,10,DET,NO,-0.0584360366462869,1.0,-7,1.0,True
2014,7,10,GB,CAR,0.111537650145759,1.0,0,21.0,True
2014,7,10,IND,CIN,-0.0134093399063169,1.0,3,27.0,True
2014,7,10,JAX,CLE,-0.3991139632998706,1.0,0,18.0,True
2014,7,10,WAS,TEN,0.0787329362236979,1.0,0,2.0,True
2014,7,10,DAL,NYG,0.1440599934839778,1.0,0,10.0,True
2014,7,10,DEN,SF,0.0834312092768865,1.0,1,25.0,True
2014,7,10,PIT,HOU,-0.0394717639537181,1.0,-3,7.0,True
2014,7,20,NE,NYJ,0.1389799187433748,1.0,0,2.0,True
2014,7,20,BAL,ATL,0.0316386696881605,1.0,0,22.0,True
2014,7,20,BUF,MIN,0.2093774279597865,1.0,0,1.0,True
2014,7,20,CHI,MIA,0.0033474351672582,1.0,0,-13.0,False
2014,7,20,DET,NO,-0.0573550593668895,1.0,-7,1.0,True
2014,7,20,GB,CAR,0.0894714281843193,1.0,0,21.0,True
2014,7,20,IND,CIN,-0.0338862138829175,1.0,3,27.0,True
2014,7,20,JAX,CLE,-0.3768967220937788,1.0,0,18.0,True
2014,7,20,WAS,TEN,0.0921345407381252,1.0,0,2.0,True
2014,7,20,DAL,NYG,0.1305119920673107,1.0,0,10.0,True
2014,7,20,DEN,SF,0.0776432042797096,1.0,1,25.0,True
2014,7,20,PIT,HOU,-0.0445341584942597,1.0,-3,7.0,True
2014,7,50,NE,NYJ,0.1293242249708298,1.0,0,2.0,True
2014,7,50,BAL,ATL,0.022844583555239,1.0,0,22.0,True
2014,7,50,BUF,MIN,0.2054356729651615,1.0,0,1.0,True
2014,7,50,CHI,MIA,0.0072620661033939,1.0,0,-13.0,False
2014,7,50,DET,NO,-0.0562072406646336,1.0,-7,1.0,True
2014,7,50,GB,CAR,0.0754459745012761,1.0,0,21.0,True
2014,7,50,IND,CIN,-0.0465074127358826,1.0,3,27.0,True
